,order_id,order_value,promo_type
0,89024655,27,no_promo
1,88982450,37,SALE15
2,89015569,34,SALE15
3,88977936,37,no_promo
4,89057540,36,no_promo
5,89043328,40,no_promo
6,88980950,24,SALE15
7,88984623,29,SALE15
8,88994010,39,no_promo
9,89041071,43,no_promo
10,89073066,32,no_promo
11,88986639,38,no_promo
12,89046097,23,no_promo
13,89069185,39,no_promo
14,89040418,26,no_promo
15,89005435,22,no_promo
16,89007280,20,no_promo
17,89056391,36,SALE15
18,89053451,31,no_promo
19,89021666,46,no_promo
20,88996219,38,no_promo
21,89041743,25,no_promo
22,89033567,27,no_promo
23,89005614,22,no_promo
24,88994069,38,no_promo
25,89050172,25,no_promo
26,88997745,31,no_promo
27,89059377,13,no_promo
28,89059662,26,no_promo
29,88982257,21,no_promo
30,89060621,24,no_promo
31,89070620,21,no_promo
32,88983123,34,no_promo
33,89056794,23,no_promo
34,89043975,38,no_promo
35,89044644,27,no_promo
36,89031552,29,no_promo
37,89042070,30,no_promo
38,89011437,24,no_promo
39,89049677,11,no_promo
40,89049973,22,no_promo
41,89054994,20,no_promo
42,88982083,30,no_promo
43,89056776,37,no_promo
44,89000289,30,no_promo
45,89056938,20,no_promo
46,89060144,31,no_promo
47,89034003,27,no_promo
48,89069633,38,no_promo
49,89048804,41,no_promo
50,89018505,34,no_promo
51,89057907,21,no_promo
52,89047856,21,no_promo
53,89049597,30,no_promo
54,89009726,31,no_promo
55,89010033,41,no_promo
56,89060850,25,no_promo
57,88978115,19,no_promo
58,89017858,36,no_promo
59,88991325,24,no_promo
60,89031150,44,no_promo
61,89056958,36,SALE15
62,89027028,46,SALE15
63,89050668,22,SALE15
64,89022649,32,no_promo
65,89006863,20,no_promo
66,89003621,38,no_promo
67,89035047,25,no_promo
68,89013526,26,no_promo
69,89000067,32,no_promo
70,89035927,38,no_promo
71,89050901,36,no_promo
72,88996016,22,SALE15
73,89060838,37,no_promo
74,89042032,26,no_promo
75,89050115,28,no_promo
76,89043520,30,no_promo
77,89018343,38,no_promo
78,89054373,38,no_promo
79,88987646,34,no_promo
80,89064049,38,no_promo
81,88983291,28,no_promo
82,89075224,23,no_promo
83,89018977,29,no_promo
84,89041185,29,no_promo
85,89054389,44,no_promo
86,89004781,33,no_promo
87,89022242,29,no_promo
88,89076408,35,no_promo
89,89042518,39,no_promo
90,89046682,20,no_promo
91,89021484,25,no_promo
92,89017543,35,no_promo
93,88979529,30,no_promo
94,89035889,23,no_promo
95,89027103,26,no_promo
96,89075603,38,no_promo
97,88992318,24,no_promo
98,88994956,40,no_promo
99,88980957,28,no_promo
100,89056084,28,no_promo
101,89035522,36,no_promo
102,89037475,30,no_promo
103,88995318,25,no_promo
104,89015311,16,SALE15
105,89008854,32,no_promo
106,89039940,31,no_promo
107,88998189,20,no_promo
108,89036340,19,no_promo
109,89027269,31,no_promo
110,89029798,23,no_promo
111,89018419,29,no_promo
112,89010360,26,no_promo
113,89031080,22,no_promo
114,88991419,29,no_promo
115,89029747,36,no_promo
116,89019468,22,no_promo
117,88978844,10,no_promo
118,89015354,36,no_promo
119,88987085,32,no_promo
120,89034924,27,no_promo
121,89010325,29,no_promo
122,89044026,36,no_promo
123,89058121,8,no_promo
124,89024437,34,no_promo
125,89043396,15,no_promo
126,89040695,27,no_promo
127,89060598,22,no_promo
